변환,원자료
"2019-01","1.75"
"2019-02","1.75"
"2019-03","1.75"
"2019-04","1.75"
"2019-05","1.75"
"2019-06","1.75"
"2019-07","1.50"
"2019-08","1.50"
"2019-09","1.50"
"2019-10","1.25"
"2019-11","1.25"
"2019-12","1.25"
"2020-01","1.25"
"2020-02","1.25"
"2020-03","0.75"
"2020-04","0.75"
"2020-05","0.50"
"2020-06","0.50"
"2020-07","0.50"
"2020-08","0.50"
"2020-09","0.50"
"2020-10","0.50"
"2020-11","0.50"
"2020-12","0.50"
"2021-01","0.50"
"2021-02","0.50"
"2021-03","0.50"
"2021-04","0.50"
"2021-05","0.50"
"2021-06","0.50"
"2021-07","0.50"
"2021-08","0.75"
"2021-09","0.75"
"2021-10","0.75"
"2021-11","1.00"
"2021-12","1.00"
"2022-01","1.25"
"2022-02","1.25"
"2022-03","1.25"
"2022-04","1.50"
"2022-05","1.75"
"2022-06","1.75"
"2022-07","2.25"
"2022-08","2.50"
"2022-09","2.50"
"2022-10","3.00"
"2022-11","3.25"
"2022-12","3.25"
"2023-01","3.50"
"2023-02","3.50"
"2023-03","3.50"
"2023-04","3.50"
"2023-05","3.50"
"2023-06","3.50"
"2023-07","3.50"
"2023-08","3.50"
"2023-09","3.50"
"2023-10","3.50"
"2023-11","3.50"
"2023-12","3.50"
"2024-01","3.50"
"2024-02","3.50"
"2024-03","3.50"
"2024-04","3.50"
"2024-05","3.50"
"2024-06","3.50"
"2024-07","3.50"
"2024-08","3.50"
"2024-09","3.50"
"2024-10","3.25"
"2024-11","3.00"
"2024-12","3.00"
"2025-01","3.00"
"2025-02","2.75"
"2025-03","2.75"
"2025-04","2.75"
"2025-05","2.50"
"2025-06","2.50"
"2025-07","2.50"
"2025-08","2.50"
"2025-09","2.50"
"2025-10","2.50"
"2025-11","2.50"
"2025-12","2.50"
